"Rank","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","BPM"
334,"Timothé Luwawu-Cabarrot","SF",26,"ATL",36,12,12.6,1.4,3.6,0.385,0.9,2.4,0.368,0.5,1.2,0.419,0.508,0.5,0.6,0.85,0.3,1.1,1.4,0.7,0.4,0.1,0.4,1.3,4.1,-3.5
180,"Usman Garuba","PF",19,"HOU",15,0,7,0.5,1.6,0.333,0.1,0.9,0.154,0.4,0.7,0.545,0.375,0.1,0.1,0.5,0.6,1.7,2.3,0.5,0.5,0.4,0.2,0.6,1.3,-0.5
526,"Klay Thompson","SG",31,"GSW",16,16,25.3,6.2,14.8,0.418,2.9,7.7,0.374,3.3,7.1,0.465,0.515,1.8,1.9,0.935,0.4,3.4,3.8,3.1,0.6,0.4,1.4,1.5,17.1,2.1
67,"Oshae Brissett","SF",23,"IND",47,5,20.3,2.5,6.1,0.408,0.9,2.8,0.333,1.6,3.3,0.471,0.484,1.3,2,0.634,1.5,3.2,4.7,0.8,0.6,0.4,0.8,1.4,7.2,-2.5
323,"Kira Lewis Jr.","PG",20,"NOP",24,0,14.2,2.5,6.1,0.404,0.5,2.4,0.224,1.9,3.7,0.523,0.449,0.4,0.5,0.833,0.4,1.3,1.6,2,0.5,0,1.1,0.7,5.9,-4.1
107,"Amir Coffey","SG",24,"LAC",48,20,22.2,2.8,6.1,0.459,1.4,3.6,0.38,1.4,2.5,0.57,0.57,1.5,1.6,0.886,0.5,2.5,3,1.6,0.5,0.2,0.6,1.3,8.4,0.4
244,"Al Horford","C",35,"BOS",51,51,28.3,3.8,8.5,0.445,1.2,4,0.307,2.6,4.5,0.565,0.516,1.3,1.5,0.835,1.5,6,7.5,3.4,0.6,1.3,1,1.8,10.1,3.6
396,"Larry Nance Jr.","PF",29,"POR",37,11,23.2,2.8,5.4,0.515,0.5,1.7,0.306,2.2,3.7,0.61,0.563,0.9,1.3,0.653,1.6,4.1,5.6,2,1,0.4,0.7,1.8,6.9,0.6
30,"Harrison Barnes","PF",29,"SAC",55,55,33.7,5.2,11.1,0.466,2,4.8,0.409,3.2,6.3,0.51,0.555,4.7,5.6,0.828,1.1,5,6.1,2.5,0.7,0.2,1.6,1.3,17,0.8
292,"Tyus Jones","PG",25,"MEM",53,14,20.7,3.2,7,0.461,0.9,2.5,0.358,2.3,4.5,0.519,0.526,0.7,0.8,0.867,0.2,2.2,2.5,4.2,0.9,0,0.7,0.4,8.1,1.5
479,"Olivier Sarr","C",22,"OKC",2,0,7,0.5,1.5,0.333,0,0.5,0,0.5,1,0.5,0.333,1,1,1,0,2.5,2.5,0,0,1,0,0.5,2,-0.2
486,"Wayne Selden","SG",27,"NYK",3,0,6.3,0.3,1.3,0.25,0.3,0.7,0.5,0,0.7,0,0.375,0.7,1.3,0.5,0,0.3,0.3,0.3,0,0,0,0.3,1.7,-6.2
333,"Kyle Lowry","PG",35,"MIA",46,46,34.3,4.4,10.4,0.425,2.2,6.1,0.352,2.3,4.3,0.528,0.528,2.3,2.7,0.84,0.6,4,4.6,7.9,1.2,0.3,3,2.8,13.3,1.5
445,"Bobby Portis","C",26,"MIL",51,46,28.8,6,12.5,0.482,1.9,4.7,0.402,4.1,7.8,0.53,0.558,1.4,1.8,0.755,2.6,6.5,9.1,1.3,0.8,0.8,1.5,2.6,15.3,0.3
351,"Skylar Mays","SG",24,"ATL",23,5,9,1.3,2.7,0.508,0.3,1.1,0.32,1,1.6,0.639,0.574,0.3,0.4,0.889,0.2,0.9,1.1,0.7,0.3,0,0.4,0.3,3.4,-1.5
426,"Kevin Pangos","PG",29,"CLE",24,3,6.9,0.6,1.9,0.326,0.3,1.1,0.231,0.4,0.8,0.45,0.391,0.1,0.2,0.75,0.1,0.4,0.5,1.3,0.1,0,0.3,0.5,1.6,-5.9
